-DOCSTART- -X- -X- O

A DT B-NP O
segmentation NN I-NP B-TERM
method NN I-NP I-TERM
( : I-NP O
e NN I-NP O
. . I-NP O
g NN I-NP O
. . O O
, , O O
TextTiling NNP B-NP O
( NNP I-NP O
Hearst NNP I-NP O
, , O O
1997 CD B-NP O
) : I-NP O
) CD O O
generally RB O O
segments NNS B-VP B-DEF
a DT B-NP I-DEF
text NN I-NP I-DEF
into IN B-PP I-DEF
blocks NNS B-NP I-DEF
( : O I-DEF
paragraphs NNS B-NP I-DEF
) VBP B-VP I-DEF
in IN B-PP I-DEF
accord NN B-NP I-DEF
with IN B-PP I-DEF
topic JJ B-NP I-DEF
changes NNS I-NP I-DEF
within IN B-PP I-DEF
the DT O I-DEF
text NN O I-DEF
, , O O
but CC O O
it PRP O O
does VBZ B-VP O
not RB I-VP O
identify VB I-VP O
( : O O
or CC O O
label NN O O
) : O O
by IN B-PP O
itself PRP O O
the DT O O
topics NNS O O
discussed VBD B-VP O
in IN B-PP O
each DT O O
of IN B-PP O
the DT O O
blocks NNS O O
. . O O

We PRP B-NP O
use VBP B-VP O
TG/2 -NONE- B-NP B-TERM
, , O O
a DT B-NP B-DEF
rule-based JJ I-NP I-DEF
engine NN I-NP I-DEF
that WDT I-NP I-DEF
covers VBZ B-VP I-DEF
the DT B-NP I-DEF
continuum NN I-NP I-DEF
between IN B-PP I-DEF
templates NNS B-NP I-DEF
and CC O I-DEF
syntactic JJ B-NP I-DEF
generation NN I-NP I-DEF
( : I-NP O
Busemann NNP I-NP O
, , O O
1996 CD B-NP O
) : I-NP O
. . O O

Regardless NN O O
of IN B-PP O
this DT B-NP O
, , O O
there EX B-NP O
is VBZ B-VP O
a DT B-NP O
ceiling NN I-NP O
on IN B-PP O
the DT B-NP O
performance NN I-NP O
of IN B-PP O
these DT B-NP O
systems NNS I-NP O
at IN B-PP O
around IN B-NP O
80 CD I-NP O
% NN I-NP O
token NN I-NP O
recall. NNP I-NP O
Where NNP B-PP O
token NN B-NP B-TERM
recall NN I-NP I-TERM
is VBZ B-VP O
the DT B-NP B-DEF
percentage NN I-NP I-DEF
of IN B-PP I-DEF
SCF NNP B-NP I-DEF
tokens NNS I-NP I-DEF
in IN B-PP I-DEF
a DT O I-DEF
sample NN O I-DEF
of IN B-PP I-DEF
manually RB O I-DEF
analysed VBN O I-DEF
text NN O I-DEF
that IN O I-DEF
were VBD B-VP I-DEF
The DT O I-DEF
approaches NNS O I-DEF
to TO B-PP I-DEF
extracting VBG O I-DEF
SCF NNP O I-DEF
information NN O I-DEF
from IN O I-DEF
corpora NN O I-DEF
have VBP B-VP I-DEF
frequently RB I-VP I-DEF
employed VBN I-VP I-DEF
statistical JJ O I-DEF
methods NNS O I-DEF
for IN O I-DEF
filtering VBG O I-DEF
. . O O

Strube NNP B-NP O
and CC I-NP O
Hahn NNP I-NP O
( NNP I-NP O
Strube NNP I-NP O
, , O O
1998 CD B-NP O
; : O O
Strube NNP B-NP O
and CC I-NP O
H~.hn NNP I-NP O
, , O O
1999 CD B-NP O
) : I-NP O
in IN B-PP O
particular JJ B-NP O
, , I-NP O
calculate JJ I-NP O
prominence NN I-NP B-DEF
considering VBG B-VP I-DEF
the DT B-NP I-DEF
information NN I-NP I-DEF
structure NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
utterances NNS I-NP I-DEF
( : I-NP O
functional JJ I-NP B-TERM
centering NN I-NP I-TERM
