-DOCSTART- -X- -X- O

The DT B-NP O
corpus NN I-NP O
we PRP I-NP O
use VBP B-VP O
in IN B-PP O
our PRP$ B-NP O
experinaent NN I-NP O
is VBZ B-VP O
a DT B-NP O
relative JJ I-NP O
small JJ I-NP O
corpus NN I-NP O
about IN B-PP O
computer NN B-NP O
handbook NN I-NP O
, , O O
in IN B-PP O
which WDT B-NP O
the DT I-NP O
terms NNS I-NP O
are VBP B-VP O
translated VBN I-VP O
with IN B-PP O
high JJ B-NP O
consistency NN I-NP O
. . O O

Domain NNP B-NP O
Knowledge NNP I-NP O
Management NNP I-NP O
in IN B-PP O
general JJ B-NP O
involves NNS B-VP O
three CD B-NP O
steps NNS I-NP O
. . O O

They PRP B-NP O
report VBP B-VP O
that IN O O
the DT B-NP O
accuracy NN I-NP O
thus RB O O
obtained VBD B-VP O
is VBZ I-VP O
higher JJR O O
than IN B-PP O
when WRB O O
applying VBG B-VP O
the DT B-NP O
same JJ I-NP O
statistical JJ I-NP O
measures NNS I-NP O
to TO B-PP O
the DT B-NP O
original JJ I-NP O
text NN I-NP O
. . O O

Our PRP$ B-NP O
work NN I-NP O
exploits NNS B-VP O
chunking VBG I-VP O
in IN B-PP O
two CD B-NP O
principal JJ I-NP O
ways NNS I-NP O
. . O O

We PRP B-NP O
will MD B-VP O
use VB I-VP O
the DT B-NP O
artificial JJ I-NP O
dataset NN I-NP O
given VBN B-VP O
in IN B-PP O
Fig NNP B-NP O
4 CD I-NP O
which WDT I-NP O
displays NNS B-VP O
4 CD B-NP O
different JJ I-NP O
patterns NNS I-NP O
of IN B-PP O
gap NN B-NP O
threading VBG I-NP O
. . O O

A DT B-NP O
segmentation NN I-NP B-TERM
method NN I-NP I-TERM
( : I-NP O
e NN I-NP O
. . I-NP O
g NN I-NP O
. . O O
, , O O
TextTiling NNP B-NP O
( NNP I-NP O
Hearst NNP I-NP O
, , O O
1997 CD B-NP O
) : I-NP O
) CD O O
generally RB O O
segments NNS B-VP B-DEF
a DT B-NP I-DEF
text NN I-NP I-DEF
into IN B-PP I-DEF
blocks NNS B-NP I-DEF
( : O I-DEF
paragraphs NNS B-NP I-DEF
) VBP B-VP I-DEF
in IN B-PP I-DEF
accord NN B-NP I-DEF
with IN B-PP I-DEF
topic JJ B-NP I-DEF
changes NNS I-NP I-DEF
within IN B-PP I-DEF
the DT O I-DEF
text NN O I-DEF
, , O O
but CC O O
it PRP O O
does VBZ B-VP O
not RB I-VP O
identify VB I-VP O
( : O O
or CC O O
label NN O O
) : O O
by IN B-PP O
itself PRP O O
the DT O O
topics NNS O O
discussed VBD B-VP O
in IN B-PP O
each DT O O
of IN B-PP O
the DT O O
blocks NNS O O
. . O O

2 LS B-NP O
Taking NNP B-PP O
each DT B-NP O
category NN I-NP O
of IN B-PP O
the DT B-NP O
three CD I-NP O
in IN B-PP O
turn NN B-NP O
, , O O
problematic JJ B-NP O
constructs NNS I-NP O
included VBD B-VP O
: : O O
cordination NN B-NP O
, , I-NP O
punctuation NN I-NP O
, , O O
treating VBG B-VP O
ditransitive JJ B-NP O
VPs NNS I-NP O
as IN B-PP O
being VBG B-VP O
transitive JJ B-NP O
VPs NNS I-NP O
, , O O
confusions NNS B-NP O
regarding VBG B-VP O
adjective JJ O O
or CC O O
adverbial JJ O O
phrases NNS O O
, , O O
and CC O O
copulars NNS O O
seen VBN B-VP O
as IN B-PP O
being VBG O O
possessives NNS O O
. . O O

The DT B-NP O
default NN I-NP O
category NN I-NP O
of IN B-PP O
a DT B-NP O
tag NN I-NP O
is VBZ B-VP O
given VBN I-VP O
by IN B-PP O
the DT B-NP O
ration NN I-NP O
between IN B-PP O
its PRP$ B-NP O
number NN I-NP O
of IN B-PP O
occurrences NNS B-NP O
in IN B-PP O
the DT B-NP O
structure NN I-NP O
we PRP I-NP O
want VBP B-VP O
to TO I-VP O
recognise VB I-VP O
and CC O O
the DT B-NP O
number NN I-NP O
of IN B-PP O
occurrences NNS B-NP O
in IN B-PP O
the DT O O
training NN O O
corpus VBZ O O
. . O O

The DT B-NP O
second JJ I-NP O
56 CD I-NP O
measure NN I-NP O
is VBZ B-VP O
the DT B-NP O
probability NN I-NP O
of IN B-PP O
correct NN B-NP O
classification NN I-NP O
. . O O

Finally RB O O
, , O O
ternary JJ B-NP O
expressions NNS I-NP O
are VBP B-VP O
highly RB O O
amenable JJ O O
to TO B-PP O
rapid JJ B-NP O
large-scale JJ I-NP O
indexing NN I-NP O
, , O O
which WDT B-NP O
is VBZ B-VP O
a DT B-NP O
necessary JJ I-NP O
prerequisite NN I-NP O
of IN B-PP O
information NN B-NP O
retrieval NN I-NP O
systems NNS I-NP O
. . O O

2 LS B-NP O
• `` I-NP O
Given NNP B-VP O
an DT B-NP O
activated JJ I-NP O
concept NN I-NP O
, , O O
which WDT B-NP O
more JJR I-NP O
general JJ I-NP O
lexical JJ I-NP O
items NNS I-NP O
are VBP B-VP O
considered VBN I-VP O
in IN B-PP O
tile JJ B-NP O
choice NN I-NP O
process NN I-NP O
; : O O
are VBP B-VP O
there RB I-VP O
any DT B-NP O
restrictions NNS I-NP O
on IN B-PP O
.-lexical JJ B-NP O
inheritance NN I-NP O
? . O O

The DT B-NP O
recall-based JJ I-NP O
measures NNS I-NP O
introduce VBP B-VP O
a DT B-NP O
bias NN I-NP O
since IN O O
they PRP B-NP O
are VBP B-VP O
based VBN I-VP O
on IN B-PP O
the DT B-NP O
Opinions NNS I-NP O
of IN B-PP O
a DT B-NP O
small JJ I-NP O
number NN I-NP O
of IN B-PP O
assessors NNS B-NP O
. . O O

Our PRP$ B-NP O
system NN I-NP O
, , O O
SNS NNP B-NP B-TERM
( NNP I-NP O
pronounced VBD B-VP O
`` `` O O
essence NN B-NP O
`` `` I-NP O
) : I-NP O
, , O O
retrieves NNS B-VP B-DEF
documents NNS B-NP I-DEF
related VBN B-VP I-DEF
to TO B-PP I-DEF
an DT B-NP I-DEF
unrestricted JJ I-NP I-DEF
user NN I-NP I-DEF
query NN I-NP I-DEF
and CC O I-DEF
summarizes VBZ B-VP I-DEF
a DT B-NP I-DEF
subset NN I-NP I-DEF
of IN B-PP I-DEF
them PRP B-NP I-DEF
as IN O I-DEF
selected VBN B-VP I-DEF
by IN B-PP I-DEF
the DT B-NP I-DEF
user NN I-NP I-DEF
. . O O

The DT B-NP O
only JJ I-NP O
consideration NN I-NP O
is VBZ B-VP O
the DT B-NP O
computation NN I-NP O
of IN B-PP O
the DT B-NP O
chain NN I-NP O
score NN I-NP O
. . O O

' POS B-NP O
Accuracy NNP I-NP O
' POS O O
in IN B-PP O
Table NNP B-NP O
1 CD I-NP O
is VBZ B-VP O
the DT B-NP O
total JJ I-NP O
average NN I-NP O
ratio NN I-NP O
. . O O

The DT B-NP O
input NN I-NP O
is VBZ B-VP O
the DT B-NP O
set NN I-NP O
of IN B-PP O
story NN B-NP O
sentences NNS I-NP O
and CC I-NP O
questions NNS I-NP O
, , O O
such JJ B-PP O
that IN I-PP O
the DT B-NP O
words NNS I-NP O
in IN B-PP O
each DT B-NP O
are VBP B-VP O
tagged VBN I-VP O
with IN B-PP O
POS NNP B-NP O
tags NNS I-NP O
and CC O O
the DT B-NP O
names NNS I-NP O
are VBP B-VP O
marked VBN I-VP O
with IN B-PP O
type NN B-NP O
and CC I-NP O
gender NN I-NP O
information NN I-NP O
. . O O

We PRP B-NP O
use VBP B-VP O
TG/2 -NONE- B-NP B-TERM
, , O O
a DT B-NP B-DEF
rule-based JJ I-NP I-DEF
engine NN I-NP I-DEF
that WDT I-NP I-DEF
covers VBZ B-VP I-DEF
the DT B-NP I-DEF
continuum NN I-NP I-DEF
between IN B-PP I-DEF
templates NNS B-NP I-DEF
and CC O I-DEF
syntactic JJ B-NP I-DEF
generation NN I-NP I-DEF
( : I-NP O
Busemann NNP I-NP O
, , O O
1996 CD B-NP O
) : I-NP O
. . O O

Since IN O O
indicative JJ B-NP O
summaries NNS I-NP O
alert NN I-NP O
users NNS I-NP O
to TO B-VP O
document VB I-VP O
content NN B-NP O
, , O O
any DT B-NP O
measure NN I-NP O
that IN I-NP O
evaluates NNS B-VP O
the DT B-NP O
quality NN I-NP O
of IN B-PP O
an DT B-NP O
indicative JJ I-NP O
summary NN I-NP O
ought MD B-VP O
to TO I-VP O
consider VB I-VP O
the DT B-NP O
similarity NN I-NP O
of IN B-PP O
the DT B-NP O
content NN I-NP O
of IN B-PP O
the DT B-NP O
summary NN I-NP O
to TO B-PP O
the DT O O
content NN O O
of IN B-PP O
the DT O O
full JJ O O
document NN O O
. . O O

For IN B-PP O
ANFIS NNP B-NP O
, , O O
the DT B-NP O
set NN I-NP O
of IN B-PP O
sentence-question NN B-NP O
pairs NNS I-NP O
was VBD B-VP O
divided VBN I-VP O
into IN B-PP O
five CD B-NP O
groups NNS I-NP O
according VBG B-VP O
to TO B-PP O
question NN B-NP O
type NN I-NP O
. . O O

We PRP B-NP O
present VBD B-VP O
measures NNS B-NP O
to TO B-VP O
evaluate VB I-VP O
filtering NN B-NP O
performance NN I-NP O
and CC I-NP O
preliminary JJ I-NP O
results NNS I-NP O
on IN B-PP O
Spanish NNP B-NP O
, , O O
Arabic NNP B-NP O
and CC O O
Haitian NNP B-NP O
Creole NNP I-NP O
FALCon NNP I-NP O
systems NNS I-NP O
. . O O

For IN B-PP O
example NN B-NP O
, , O O
if IN O O
a DT B-NP O
sentence NN I-NP O
mentioning VBG B-VP O
a DT B-NP O
new JJ I-NP O
entity NN I-NP O
is VBZ B-VP O
included VBN I-VP O
in IN B-PP O
a DT B-NP O
summary NN I-NP O
, , O O
one CD B-NP O
might MD B-VP O
also RB I-VP O
want VB I-VP O
to TO I-VP O
include VB I-VP O
a DT B-NP O
sentence NN I-NP O
that WDT I-NP O
puts VBZ B-VP O
the DT B-NP O
entity NN I-NP O
in IN B-PP O
the DT B-NP O
context NN I-NP O
of IN B-PP O
the DT O O
re§t JJ O O
of IN B-PP O
the DT O O
article NN O O
or CC O O
cluster NN O O
. . O O

Regardless NN O O
of IN B-PP O
this DT B-NP O
, , O O
there EX B-NP O
is VBZ B-VP O
a DT B-NP O
ceiling NN I-NP O
on IN B-PP O
the DT B-NP O
performance NN I-NP O
of IN B-PP O
these DT B-NP O
systems NNS I-NP O
at IN B-PP O
around IN B-NP O
80 CD I-NP O
% NN I-NP O
token NN I-NP O
recall. NNP I-NP O
Where NNP B-PP O
token NN B-NP B-TERM
recall NN I-NP I-TERM
is VBZ B-VP O
the DT B-NP B-DEF
percentage NN I-NP I-DEF
of IN B-PP I-DEF
SCF NNP B-NP I-DEF
tokens NNS I-NP I-DEF
in IN B-PP I-DEF
a DT O I-DEF
sample NN O I-DEF
of IN B-PP I-DEF
manually RB O I-DEF
analysed VBN O I-DEF
text NN O I-DEF
that IN O I-DEF
were VBD B-VP I-DEF
The DT O I-DEF
approaches NNS O I-DEF
to TO B-PP I-DEF
extracting VBG O I-DEF
SCF NNP O I-DEF
information NN O I-DEF
from IN O I-DEF
corpora NN O I-DEF
have VBP B-VP I-DEF
frequently RB I-VP I-DEF
employed VBN I-VP I-DEF
statistical JJ O I-DEF
methods NNS O I-DEF
for IN O I-DEF
filtering VBG O I-DEF
. . O O

Strube NNP B-NP O
and CC I-NP O
Hahn NNP I-NP O
( NNP I-NP O
Strube NNP I-NP O
, , O O
1998 CD B-NP O
; : O O
Strube NNP B-NP O
and CC I-NP O
H~.hn NNP I-NP O
, , O O
1999 CD B-NP O
) : I-NP O
in IN B-PP O
particular JJ B-NP O
, , I-NP O
calculate JJ I-NP O
prominence NN I-NP B-DEF
considering VBG B-VP I-DEF
the DT B-NP I-DEF
information NN I-NP I-DEF
structure NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
utterances NNS I-NP I-DEF
( : I-NP O
functional JJ I-NP B-TERM
centering NN I-NP I-TERM
) : I-NP O
. . O O

CommandTalk NNP B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
spoken-language JJ I-NP I-DEF
interface NN I-NP I-DEF
to TO B-PP I-DEF
the DT B-NP I-DEF
ModSAF NNP I-NP I-DEF
( NNP I-NP I-DEF
Modular NNP I-NP I-DEF
Semi-Automated NNP I-NP I-DEF
Forces NNPS I-NP I-DEF
) NNP I-NP I-DEF
battlefield NN I-NP I-DEF
simulator NN I-NP I-DEF
, , O O
developed VBD B-VP O
with IN B-PP O
the DT B-NP O
goal NN I-NP O
of IN B-PP O
allowing VBG B-VP O
military JJ B-NP O
commanders NNS I-NP O
to TO B-VP O
interact VB I-VP O
