-DOCSTART- -X- -X- O

The DT B-NP O
AK-47 NP I-NP B-TERM
( ( O O
contraction NN B-NP O
of IN B-PP O
Russian NP I-PP O
: : O O
Автомат JJ B-NP O
Калашникова NN I-NP O
образца NN I-NP O
1947 CD I-NP O
года NN I-NP O
; : O O
Avtomat NP B-NP O
Kalashnikova NP I-NP O
obraztsa NP I-NP O
1947 CD I-NP O
goda NN I-NP O
; : O O
" `` O O
Automatic JJ B-NP O
rifle NN I-NP O
Kalashnikov NP I-NP O
model NN I-NP O
of IN B-PP O
1947 CD I-PP O
year NN I-PP O
" '' O O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
7.62 CD I-NP I-GENUS
mm NN I-NP I-GENUS
assault NN I-NP I-GENUS
rifle NN B-NP B-HYPER
developed VVN B-VP O
in IN B-PP O
the DT I-PP O
Soviet NP I-PP O
Union NP I-PP O
by IN I-PP O
Mikhail NP I-PP O
Kalashnikov NP I-PP O
in IN I-PP O
two CD I-PP O
versions NNS I-PP O
: : O O
the DT B-NP O
fixed JJ I-NP O
stock NN I-NP O
AK-47 JJ I-NP O
and CC I-NP O
the DT I-NP O
AKS-47 JJ I-NP O
( ( O O
S—So NP B-NP O
skladnym NN I-NP O
prikladom NN I-NP O
) ) I-NP O
variant NN I-NP O
equipped VVN B-VP O
with IN B-PP O
an DT I-PP O
underfolding JJ I-PP O
metal NN I-PP O
shoulder NN I-PP O
stock NN I-PP O
. . O O

American NP B-NP O
Standard NP I-NP O
Code NP I-NP O
for IN B-PP O
Information NP I-PP O
Interchange NP I-PP O
( ( O O
ASCII NP B-NP B-TERM
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
character NN I-NP I-GENUS
encoding VVG B-VP B-HYPER
based VVN B-VP O
on IN B-PP O
the DT I-PP O
English JJ I-PP O
alphabet NN I-PP O
. . O O

The DT B-NP O
Aardvark NP I-NP B-TERM
( ( O O
Orycteropus NP B-NP O
afer NP I-NP O
) ) I-NP O
( ( I-NP O
" `` O O
Digging JJ B-NP O
foot NN I-NP O
" '' O O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
medium-sized JJ I-NP I-GENUS
, , O I-GENUS
burrowing VVG B-VP I-GENUS
, , O I-GENUS
nocturnal JJ B-NP I-GENUS
mammal NN B-NP B-HYPER
native NN B-NP O
to TO B-PP O
Africa NP I-PP O
. . O O

The DT B-NP O
Aardwolf NP I-NP B-TERM
( ( O O
Proteles NP B-NP O
cristatus NN I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
small JJ I-NP I-GENUS
, , I-NP I-GENUS
insectivorous JJ I-NP I-GENUS
hyena-like NN I-NP I-GENUS
mammal NN B-NP B-HYPER
, , O O
native JJ B-NP O
to TO B-PP O
Eastern NP I-PP O
and CC O O
Southern NP B-NP O
Africa NP I-NP O
. . O O

In IN B-PP O
the DT I-PP O
Bible NP I-PP O
, , I-PP O
Aaron NP I-PP B-TERM
, , I-PP O
or CC I-PP O
Aaron NP I-PP O
the DT B-NP O
Levite NP I-NP O
( ( I-NP O
/ˈærən/ NN I-NP O
/ˈɛərən/˙ NN I-NP O
) ) O O
, , O O
was VBD B-VP O
the DT B-NP B-GENUS
brother NN B-NP B-HYPER
of IN B-PP O
Moses NP I-PP O
. . O O

The DT B-NP O
Ababda NP I-NP B-TERM
( ( O O
or CC O O
Ababde NP B-NP O
) ) O O
( ( O O
the DT B-NP O
Gebadei NP I-NP O
of IN B-PP O
Pliny NP I-PP O
, , O O
and CC O O
RB ADVP O O
the DT B-NP O
Troglodytes NN I-NP O
of IN B-PP O
other JJ I-PP O
classical JJ I-PP O
writers NNS I-PP O
) ) O O
are VBP B-VP O
nomads NNS B-NP B-HYPER
living VVG B-VP O
in IN B-PP O
the DT I-PP O
area NN I-PP O
between IN I-PP O
the DT I-PP O
Nile NP I-PP O
and CC O O
the DT B-NP O
Red NP I-NP O
Sea NP I-NP O
, , O O
in IN B-PP O
the DT I-PP O
vicinity NN I-PP O
of IN I-PP O
Aswan NP I-PP O
in IN I-PP O
Egypt NP I-PP O
. . O O

An DT B-NP O
Abacus NP I-NP B-TERM
, , O O
RB ADVP O O
called VVD B-VP O
a DT B-NP O
counting VVG I-NP O
frame NN I-NP O
, , O O
is VBZ B-VP O
a DT B-NP B-GENUS
calculating VVG I-NP I-GENUS
tool NN B-NP B-HYPER
used VVN B-VP O
RB ADVP O O
by IN B-PP O
Asians NPS I-PP O
for IN I-PP O
performing VVG B-VP O
arithmetic NN B-NP O
processes NNS I-NP O
. . O O

An DT I-NP O
Abbess NP I-NP B-TERM
( ( O O
Latin NP B-NP O
abbatissa NP I-NP O
, , O O
fem NN B-NP O
. SENT O O
form NN B-NP O
of IN B-PP O
abbas NNS I-PP O
, , I-PP O
abbot NN I-PP O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
female NN I-NP I-GENUS
superior NN B-NP B-HYPER
, , O O
or CC O O
Mother NP B-NP O
Superior NP I-NP O
, , O O
of IN B-PP O
an DT I-PP O
abbey NN I-PP O
of IN I-PP O
nuns NNS I-PP O
. . O O

An DT B-NP O
Abbey NP I-NP B-TERM
( ( O O
from IN B-PP O
Latin JJ I-PP O
abbatia NN I-PP O
, , O O
derived VVN B-VP O
from IN B-PP O
Syriac NP I-PP O
abba NP I-PP O
, , O O
" `` B-NP O
father NN I-NP O
" '' O O
) ) O O
, , O O
is VBZ B-VP O
a DT B-NP B-GENUS
Christian NP I-NP I-GENUS
monastery NN B-NP B-HYPER
or CC B-NP O
convent NN B-NP B-HYPER
, , O O
under IN B-PP O
the DT I-PP O
government NN I-PP O
of IN I-PP O
an DT I-PP O
Abbot NP I-PP O
or CC O O
an DT B-NP O
Abbess NP I-NP O
, , O O
who WP B-NP O
serves VVZ B-VP O
as IN B-PP O
the DT I-PP O
spiritual JJ I-PP O
father NN I-PP O
or CC I-PP O
mother NN I-PP O
of IN I-PP O
the DT I-PP O
community NN I-PP O
. . O O

word NN B-NP O
Abbot NN I-NP B-TERM
, , O O
meaning VVG B-NP O
father NN I-NP O
, , O O
is VBZ B-VP O
a DT B-NP B-GENUS
title NN B-NP B-HYPER
given VVN B-VP O
to TO B-PP O
the DT I-PP O
head NN I-PP O
of IN I-PP O
a DT I-PP O
monastery NN I-PP O
in IN I-PP O
various JJ I-PP O
traditions NNS I-PP O
, , O O
including VVG B-VP O
Christianity NN B-NP O
and CC I-NP O
Buddhism NN I-NP O
. . O O

An DT I-NP O
Abbreviation NP I-NP B-TERM
( ( I-NP O
from IN B-PP O
Latin JJ I-PP O
brevis NN I-PP O
" `` O O
JJ ADJP O O
" '' O O
) ) O O
is VBZ B-VP O
a DT B-NP O
shortened VVN I-NP O
form NN I-NP O
of IN B-PP O
a DT B-PP B-GENUS
word NN B-NP B-HYPER
or CC B-NP O
phrase NN B-NP B-HYPER
. . O O

The DT B-NP O
Abipones NP I-NP B-TERM
were VBD B-VP O
a DT B-NP B-GENUS
tribe NN B-NP B-HYPER
of IN B-PP O
South NP I-PP O
American NP I-PP O
Indians NPS I-PP O
of IN I-PP O
Guaycuran NP I-PP O
stock NN I-PP O
RB ADVP O O
inhabiting VVG B-VP O
the DT B-NP O
territory NN I-NP O
lying VVG B-VP O
between IN B-PP O
Santa NP I-PP O
Fe NP I-PP O
and CC O O
. . O O

An DT B-NP O
Abjad NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
type NN I-NP O
of IN B-PP O
writing NN B-NP B-HYPER
system NN I-NP I-HYPER
in IN B-PP O
which WDT I-PP O
each DT B-NP O
symbol NN I-NP O
stands VVZ B-VP O
for IN B-PP O
a DT I-PP O
consonant NN I-PP O
; : O O
the DT B-NP O
reader NN I-NP O
must MD B-VP O
supply VV I-VP O
the DT B-NP O
appropriate JJ I-NP O
vowel NN I-NP O
. . O O

In IN B-PP O
the DT I-PP O
Book NN I-PP O
of IN I-PP O
Samuel NP I-PP O
, , I-PP O
Abner NP I-PP B-TERM
( ( O O
Biblical NP B-NP O
Hebrew NP I-NP O
for IN B-PP O
" `` I-PP O
father NN I-PP O
of IN I-PP O
light NN I-PP O
" '' O O
) ) O O
, , O O
is VBZ B-VP O
RB ADJP O B-GENUS
cousin NN B-NP B-HYPER
to TO B-PP O
Saul NP I-PP O
and NP I-PP O
commander-in-chief NN B-NP B-HYPER
of IN B-PP O
his PP$ I-PP O
army NN I-PP O
( ( O O
1 CD B-NP O
Samuel NP I-NP O
14:50 CD I-NP O
, , I-NP O
20:25 CD I-NP O
) ) O O
. . O O

An DT B-NP O
Abortion NP I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-GENUS
removal NN B-NP B-HYPER
or CC B-NP O
expulsion NN B-NP B-HYPER
of IN B-PP O
an DT I-PP O
embryo NN I-PP O
or CC I-PP O
fetus NN I-PP O
from IN I-PP O
the DT I-PP O
uterus NN I-PP O
, , O O
resulting VVG B-VP O
in IN B-PP O
or CC O O
caused VVN B-VP O
by IN B-PP O
its PP$ I-PP O
death NN I-PP O
. . O O

An DT B-NP O
Abscess NP I-NP B-TERM
( ( O O
abscessus NN B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP O
collection NN I-NP O
of IN B-PP O
pus NN B-NP B-HYPER
( ( B-NP O
dead JJ I-NP O
neutrophils NNS I-NP O
) ) O O
that WDT B-NP O
has VHZ B-VP O
accumulated VVN I-VP O
in IN B-PP O
a DT I-PP O
cavity NN I-PP O
formed VVN B-VP O
by IN B-PP O
the DT I-PP O
tissue NN I-PP O
on IN I-PP O
the DT I-PP O
basis NN I-PP O
of IN I-PP O
an DT I-PP O
infectious JJ I-PP O
process NN I-PP O
( ( O O
usually RB B-VP O
caused VVN I-VP O
by IN B-PP O
bacteria NNS I-PP O
or CC I-PP O
parasites NNS I-PP O
) ) O O
or CC O O
other JJ B-NP O
foreign JJ I-NP O
materials NNS I-NP O
( ( O O
e. JJ B-NP O
g. JJ I-NP O
splinters NNS I-NP O
, , O O
bullet NN B-NP O
wounds NNS I-NP O
, , O O
or CC O O
injecting VVG B-VP O
needles NNS B-NP O
) ) O O
. . O O

In IN B-PP O
law NN I-PP O
, , O O
an DT B-NP O
Abstract NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
brief NN I-NP I-GENUS
statement NN B-NP B-HYPER
that WDT B-NP O
contains VVZ B-VP O
the DT B-NP O
most RBS I-NP O
important JJ I-NP O
points NNS I-NP O
of IN B-PP O
a DT I-PP O
long JJ I-PP O
legal JJ I-PP O
document NN I-PP O
or CC O O
of IN B-PP O
several JJ I-PP O
related JJ I-PP O
legal JJ I-PP O
papers NNS I-PP O
. . O O

An DT B-NP O
Abugida NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
writing NN B-NP B-HYPER
system NN I-NP I-HYPER
which WDT B-NP O
is VBZ B-VP O
based VVN I-VP O
on IN B-PP O
consonants NNS I-PP O
but CC O O
in IN B-PP O
which WDT I-PP O
vowel NN I-PP O
notation NN I-PP O
is VBZ B-VP O
JJ ADJP O O
. . O O

An DT B-NP O
Abzyme NP I-NP B-TERM
( ( O O
from IN B-PP O
antibody NN I-PP O
and CC I-PP O
enzyme NN I-PP O
) ) O O
, , O O
RB ADVP O O
called VVN B-VP O
catmab NN B-NP O
( ( O O
from IN B-PP O
catalytic JJ I-PP O
monoclonal NN I-PP O
antibody NN I-PP O
) ) O O
, , O O
is VBZ B-VP O
a DT B-NP B-GENUS
monoclonal NN I-NP I-GENUS
antibody NN B-NP B-HYPER
with IN B-PP O
catalytic JJ I-PP O
activity NN I-PP O
. . O O

The DT B-NP O
Acantharea NP I-NP B-TERM
are VBP B-VP O
a DT B-NP O
small JJ I-NP O
group NN I-NP O
of IN B-PP O
radiolarian NN B-PP B-GENUS
protozoa NNS B-NP B-HYPER
, , O O
distinguished VVD B-VP O
RB ADVP O O
by IN B-PP O
their PP$ I-PP O
skeletons NNS I-PP O
. . O O

In IN I-PP O
physics NN I-PP O
, , O O
Acceleration NP B-NP B-TERM
is VBZ B-VP O
defined VVN I-VP O
as IN B-PP O
the NP B-PP B-GENUS
rate NN B-NP B-HYPER
of IN B-PP I-HYPER
change NN I-PP I-HYPER
of IN B-PP O
velocity NN I-PP O
, , O O
or CC O O
as IN B-PP O
the DT I-PP O
second JJ I-PP O
derivative NN I-PP O
of IN I-PP O
position NN I-PP O
( ( O O
with IN B-PP O
respect NN I-PP O
to TO I-PP O
time NN I-PP O
) ) O O
. . O O

The DT B-NP O
Accordion NP I-NP B-TERM
