-DOCSTART- -X- -X- O

effectiveness NN B-NP B-TERM
by IN B-PP O
this DT B-NP O
method NN I-NP O
are VBP B-VP O
ambiguities NNS B-NP B-DEF
caused VBN B-VP I-DEF
by IN B-PP I-DEF
more RBR B-NP I-DEF
than IN I-NP I-DEF
one CD I-NP I-DEF
translation NN I-NP I-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
query NN I-NP I-DEF
term NN I-NP I-DEF
and CC O I-DEF
failures NNS B-VP I-DEF
to TO I-VP I-DEF
translate VB I-VP I-DEF
phrases NNS B-NP I-DEF
during IN B-PP I-DEF
query NN B-NP I-DEF
translation NN I-NP I-DEF
. . O O

A DT B-NP O
segmentation NN I-NP B-TERM
method NN I-NP I-TERM
( : I-NP O
e NN I-NP O
. . I-NP O
g NN I-NP O
. . O O
, , O O
TextTiling NNP B-NP O
( NNP I-NP O
Hearst NNP I-NP O
, , O O
1997 CD B-NP O
) : I-NP O
) CD O O
generally RB O O
segments NNS B-VP B-DEF
a DT B-NP I-DEF
text NN I-NP I-DEF
into IN B-PP I-DEF
blocks NNS B-NP I-DEF
( : O I-DEF
paragraphs NNS B-NP I-DEF
) VBP B-VP I-DEF
in IN B-PP I-DEF
accord NN B-NP I-DEF
with IN B-PP I-DEF
topic JJ B-NP I-DEF
changes NNS I-NP I-DEF
within IN B-PP I-DEF
the DT O I-DEF
text NN O I-DEF
, , O O
but CC O O
it PRP O O
does VBZ B-VP O
not RB I-VP O
identify VB I-VP O
( : O O
or CC O O
label NN O O
) : O O
by IN B-PP O
itself PRP O O
the DT O O
topics NNS O O
discussed VBD B-VP O
in IN B-PP O
each DT O O
of IN B-PP O
the DT O O
blocks NNS O O
. . O O

Our PRP$ B-NP O
system NN I-NP O
, , O O
SNS NNP B-NP B-TERM
( NNP I-NP O
pronounced VBD B-VP O
`` `` O O
essence NN B-NP O
`` `` I-NP O
) : I-NP O
, , O O
retrieves NNS B-VP B-DEF
documents NNS B-NP I-DEF
related VBN B-VP I-DEF
to TO B-PP I-DEF
an DT B-NP I-DEF
unrestricted JJ I-NP I-DEF
user NN I-NP I-DEF
query NN I-NP I-DEF
and CC O I-DEF
summarizes VBZ B-VP I-DEF
a DT B-NP I-DEF
subset NN I-NP I-DEF
of IN B-PP I-DEF
them PRP B-NP I-DEF
as IN O I-DEF
selected VBN B-VP I-DEF
by IN B-PP I-DEF
the DT B-NP I-DEF
user NN I-NP I-DEF
. . O O

We PRP B-NP O
use VBP B-VP O
TG/2 -NONE- B-NP B-TERM
, , O O
a DT B-NP B-DEF
rule-based JJ I-NP I-DEF
engine NN I-NP I-DEF
that WDT I-NP I-DEF
covers VBZ B-VP I-DEF
the DT B-NP I-DEF
continuum NN I-NP I-DEF
between IN B-PP I-DEF
templates NNS B-NP I-DEF
and CC O I-DEF
syntactic JJ B-NP I-DEF
generation NN I-NP I-DEF
( : I-NP O
Busemann NNP I-NP O
, , O O
1996 CD B-NP O
) : I-NP O
. . O O

Regardless NN O O
of IN B-PP O
this DT B-NP O
, , O O
there EX B-NP O
is VBZ B-VP O
a DT B-NP O
ceiling NN I-NP O
on IN B-PP O
the DT B-NP O
performance NN I-NP O
of IN B-PP O
these DT B-NP O
systems NNS I-NP O
at IN B-PP O
around IN B-NP O
80 CD I-NP O
% NN I-NP O
token NN I-NP O
recall. NNP I-NP O
Where NNP B-PP O
token NN B-NP B-TERM
recall NN I-NP I-TERM
is VBZ B-VP O
the DT B-NP B-DEF
percentage NN I-NP I-DEF
of IN B-PP I-DEF
SCF NNP B-NP I-DEF
tokens NNS I-NP I-DEF
in IN B-PP I-DEF
a DT O I-DEF
sample NN O I-DEF
of IN B-PP I-DEF
manually RB O I-DEF
analysed VBN O I-DEF
text NN O I-DEF
that IN O I-DEF
were VBD B-VP I-DEF
The DT O I-DEF
approaches NNS O I-DEF
to TO B-PP I-DEF
extracting VBG O I-DEF
SCF NNP O I-DEF
information NN O I-DEF
from IN O I-DEF
corpora NN O I-DEF
have VBP B-VP I-DEF
frequently RB I-VP I-DEF
employed VBN I-VP I-DEF
statistical JJ O I-DEF
methods NNS O I-DEF
for IN O I-DEF
filtering VBG O I-DEF
. . O O

CommandTalk NNP B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
spoken-language JJ I-NP I-DEF
interface NN I-NP I-DEF
to TO B-PP I-DEF
the DT B-NP I-DEF
ModSAF NNP I-NP I-DEF
( NNP I-NP I-DEF
Modular NNP I-NP I-DEF
Semi-Automated NNP I-NP I-DEF
Forces NNPS I-NP I-DEF
) NNP I-NP I-DEF
battlefield NN I-NP I-DEF
simulator NN I-NP I-DEF
, , O O
developed VBD B-VP O
with IN B-PP O
the DT B-NP O
goal NN I-NP O
of IN B-PP O
allowing VBG B-VP O
military JJ B-NP O
commanders NNS I-NP O
to TO B-VP O
interact VB I-VP O
with IN B-PP O
simulated JJ B-NP O
forces NNS I-NP O
in IN B-PP O
a DT B-NP O
manner NN I-NP O
as IN B-PP O
similar JJ B-NP O
as IN B-PP O
possible JJ O O
to TO B-PP O
the DT B-NP O
way NN I-NP O
they PRP O O
would MD B-VP O
command VB I-VP O
actual JJ O O
forces NNS O O
. . O O

For IN B-PP O
example NN B-NP O
, , O O
a DT B-NP O
CORELEX NNP I-NP B-TERM
class NN I-NP I-TERM
AQU NNP I-NP I-TERM
( NNP O O
which WDT B-NP O
represents VBZ B-VP B-DEF
a DT B-NP I-DEF
relation NN I-NP I-DEF
between IN B-PP I-DEF
ARTIFACT NNP B-NP I-DEF
and CC I-NP I-DEF
QUANTITY NNP I-NP I-DEF
) NNP I-NP O
contains VBZ B-VP O
words NNS B-NP O
such JJ B-PP O
as IN I-PP O
`` `` O O
bottle NN B-NP O
'' '' O O
, , O O
`` `` O O
bucket NN B-NP O
'' '' O O
and CC O O
`` `` O O
spoon NN B-NP O
'' '' O O
. . O O

Also RB O O
Kanji NNP B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
kind NN I-NP I-DEF
of IN B-PP I-DEF
ideogram NN B-NP I-DEF
and CC O I-DEF
each DT B-NP I-DEF
character NN I-NP I-DEF
has VBZ B-VP I-DEF
its PRP$ B-NP I-DEF
own JJ I-NP I-DEF
meaning NN I-NP I-DEF
. . O O

Third JJ O O
, , O O
we PRP B-NP O
present VBP B-VP O
some DT B-NP O
of IN B-PP O
our PRP$ B-NP O
current JJ I-NP O
primitives NNS I-NP O
, , O O
and CC O O
finally RB O O
, , O O
we PRP B-NP O
describe VBP B-VP O
the DT B-NP O
dialogue NN I-NP B-TERM
engine NN I-NP I-TERM
and CC O O
how WRB O O
it PRP B-NP O
uses VBZ B-VP B-DEF
the DT B-NP I-DEF
application NN I-NP I-DEF
description NN I-NP I-DEF
and CC O I-DEF
other JJ B-NP I-DEF
sources NNS I-NP I-DEF
to TO B-VP I-DEF
calculate VB I-VP I-DEF
dialogue NN B-NP I-DEF
primitives NNS I-NP I-DEF
. . O O

The DT B-NP O
German NNP I-NP B-TERM
Verbmobil NNP I-NP I-TERM
corpus VBZ I-NP I-TERM
( : I-NP O
Stegmann NNP I-NP O
et NN I-NP O
al. NNP I-NP O
, , O O
1998 CD B-NP O
; : O O
Hinrichs NNP B-NP O
et NN I-NP O
al. NNP O O
, , O O
2000 CD B-NP O
) : I-NP O
is VBZ B-VP O
a DT B-NP B-DEF
treebank NN I-NP I-DEF
annotated VBN B-VP I-DEF
at IN B-PP I-DEF
the DT B-NP I-DEF
University NNP I-NP I-DEF
of IN B-PP I-DEF
Tiibingen NNP B-NP I-DEF
SIMPX NNP I-NP O
I NNP I-NP O
VF NNP O O
! . O O

C NNP B-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
current JJ I-NP I-DEF
hypothesis NN I-NP I-DEF
. . O O

The DT B-NP O
F-measure JJ I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
balanced VBN I-NP I-DEF
score NN I-NP I-DEF
of IN B-PP I-DEF
precision NN B-NP I-DEF
and CC I-NP I-DEF
recall NN I-NP I-DEF
, , O I-DEF
calculated VBD B-VP I-DEF
as IN O I-DEF
follows NNS B-VP I-DEF
: : O I-DEF
2 CD B-NP I-DEF
* -NONE- I-NP I-DEF
precision NN I-NP I-DEF
* -NONE- I-NP I-DEF
recall VB I-NP I-DEF
`` `` O I-DEF
F-measure JJ O I-DEF
= NN O I-DEF
precision NN B-NP I-DEF
+ : I-NP I-DEF
recall NN I-NP I-DEF
Figures NNS I-NP O
4 CD I-NP O
and CC I-NP O
5 CD I-NP O
show NN I-NP O
that WDT O O
the DT B-NP O
phraserepresented VBD I-NP O
summary JJ I-NP O
( NN I-NP O
C NNP I-NP O
) NNP I-NP O
presents NNS B-VP O
the DT B-NP O
highest JJS I-NP O
performance NN I-NP O
. . O O

Thus RB O O
, , O O
a DT B-NP O
treecut NN I-NP B-TERM
corresponds VBZ I-NP O
to TO B-PP O
one CD B-NP B-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
levels NNS I-NP I-DEF
of IN B-PP I-DEF
abstraction NN B-NP I-DEF
in IN B-PP I-DEF
the DT B-NP I-DEF
tree NN I-NP I-DEF
. . O O

Its PRP$ B-NP O
main JJ I-NP O
strength NN I-NP O
lies NNS B-VP O
on IN B-PP O
the DT B-NP O
development NN I-NP O
of IN B-PP O
the DT B-NP O
UNL NNP I-NP B-TERM
, , O O
as IN B-PP O
a DT B-NP B-DEF
unique JJ I-NP I-DEF
semantic JJ I-NP I-DEF
( NN I-NP I-DEF
or CC I-NP I-DEF
meaning VBG I-NP I-DEF
) CD O I-DEF
representation NN B-NP I-DEF
that WDT I-NP I-DEF
can MD B-VP I-DEF
be VB I-VP I-DEF
interchanged VBN I-VP I-DEF
with IN B-PP I-DEF
the DT B-NP I-DEF
various JJ I-NP I-DEF
languages NNS I-NP I-DEF
to TO B-VP I-DEF
be VB I-VP I-DEF
integrated VBN I-VP I-DEF
in IN B-PP I-DEF
the DT B-NP I-DEF
KBMT NNP I-NP I-DEF
system NN I-NP I-DEF
. . O O

We PRP B-NP O
address VBP B-VP O
the DT B-NP O
issue NN I-NP O
of IN B-PP O
' '' B-NP O
topic JJ I-NP B-TERM
analysis NN I-NP I-TERM
, , O O
' '' O O
by IN B-PP O
which WDT B-NP O
is VBZ B-VP O
determined VBN I-VP O
a DT B-NP O
text NN I-NP O
' '' O O
s NNS B-NP O
topic JJ I-NP O
structure NN I-NP O
, , O O
which WDT B-NP O
indicates VBZ B-VP B-DEF
what WP B-NP I-DEF
topics NNS O I-DEF
are VBP B-VP I-DEF
included VBN I-VP I-DEF
in IN B-PP I-DEF
a DT O I-DEF
text NN O I-DEF
, , O I-DEF
and CC O I-DEF
how WRB O I-DEF
topics NNS O I-DEF
change VBP B-VP I-DEF
within IN B-PP I-DEF
the DT O I-DEF
text NN O I-DEF
. . O O

WordNet NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
lexical JJ I-NP I-DEF
ontology NN B-PP I-DEF
a DT B-NP I-DEF
variant NN I-NP I-DEF
on IN B-PP I-DEF
semantic JJ B-NP I-DEF
networks NNS I-NP I-DEF
with IN B-PP I-DEF
more JJR B-NP I-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
hierarchical JJ I-NP I-DEF
structure NN I-NP I-DEF
, , O O
even RB O O
though IN O O
some DT B-NP O
of IN B-PP O
the DT B-NP O
nodes NNS I-NP O
can MD B-VP O
have VB I-VP O
multiple NNS B-NP O
parents NNS I-NP O
that IN O O
was VBD B-VP O
manually RB I-VP O
constructed VBN I-VP O
for IN B-PP O
the DT O O
English NNP O O
language NN O O
. . O O

: : O O
x NN B-NP O
VP NNP I-NP O
V NNP I-NP O
NP NNP I-NP O
: : O O
p NN B-NP O
j NN I-NP O
I PRP I-NP O
surrounding VBG B-VP O
c NN B-NP O
semantics NNS I-NP O
: : O O
surround NN B-NP B-TERM
( : I-NP I-TERM
x NN I-NP I-TERM
. . O I-TERM
p NN B-VP I-TERM
) : I-VP I-TERM
( : B-NP O
4a CD I-NP O
) CD O O
provides NNS B-VP O
a DT B-NP O
structure NN I-NP B-DEF
that WDT I-NP I-DEF
could MD B-VP I-DEF
substitute VB I-VP I-DEF
for IN B-PP I-DEF
the DT B-NP I-DEF
G NNP I-NP I-DEF
node NN I-NP I-DEF
in IN B-PP I-DEF
( NNP O I-DEF
3 CD O I-DEF
) CD O I-DEF
to TO B-VP I-DEF
produce VB I-VP I-DEF
semantically RB O I-DEF
and CC O I-DEF
pragmatically RB O I-DEF
coordinated VBN O I-DEF
speech NN O I-DEF
and CC O I-DEF
gesture NN O I-DEF
. . O O

GoDiS NNP B-NP B-TERM
consists NNS B-VP B-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
number NN I-NP I-DEF
of IN B-PP I-DEF
modules NNS B-NP I-DEF
, , O I-DEF
an DT B-NP I-DEF
information NN I-NP I-DEF
state NN I-NP I-DEF
, , O I-DEF
and CC O I-DEF
a DT B-NP I-DEF
number NN I-NP I-DEF
of IN B-PP I-DEF
resources NNS B-NP I-DEF
hooked VBN B-VP I-DEF
up RP O I-DEF
to TO B-PP I-DEF
the DT B-NP I-DEF
information NN I-NP I-DEF
state NN I-NP I-DEF
. . O O

The DT B-NP O
expected VBN I-NP O
value NN I-NP O
of IN B-PP O
feature NN B-NP O
fi NN I-NP O
with IN B-PP O
respect NN B-NP O
to TO B-PP O
the DT B-NP O
empirical JJ I-NP O
distribution NN I-NP O
i~ NN I-NP O
( : I-NP O
x NN I-NP O
, , O O
y NN B-NP O
) : I-NP O
is VBZ B-VP O
expressed VBN I-VP O
as RB B-PP O
x JJ B-NP O
, , O O
y NN O O
and CC O O
the DT B-NP O
expected VBN I-NP O
value NN I-NP O
of IN B-PP O
fi NN B-NP O
with IN B-PP O
respect NN B-NP O
to TO B-PP O
the DT O O
probability NN O O
distribution NN O O
p NN O O
( : O O
ylx NN O O
) : O O
is VBZ B-VP O
p NN O O
( : O O
. . O O
fi NN O O
) : O O
-~ : O O
~ : O O
( : O O
x NN O O
) : O O
pCylx NNP O O
) : O O
. . O O
h NN B-VP O
( : O O
x NN O O
, , O O
y NN O O
) : O O
, , O O
x~y JJ O O
where WRB O O
l~ JJ O B-TERM
( NN O I-TERM
x NN O I-TERM
) : O I-TERM
is VBZ B-VP O
the DT O B-DEF
empirical JJ O I-DEF
distribution NN O I-DEF
of IN B-PP I-DEF
x NN O I-DEF
in IN B-PP I-DEF
the DT O I-DEF
corpus NN O I-DEF
. . O O

In IN B-PP O
the DT B-NP O
deeper NN I-NP O
linguistic JJ I-NP O
analysis NN I-NP O
the DT I-NP B-TERM
two CD I-NP I-TERM
so RB I-NP I-TERM
's VBZ I-NP I-TERM
may MD B-VP O
be VB I-VP O
related VBN I-VP O
, , O O
for IN O O
they PRP B-NP O
refer VBP B-VP O
to TO B-PP O
a DT B-NP B-DEF
situation NN I-NP I-DEF
involving VBG B-VP I-DEF
excessive JJ B-NP I-DEF
height NN I-NP I-DEF
with IN B-PP I-DEF
implied JJ B-NP I-DEF
consequence NN I-NP I-DEF
which WDT I-NP I-DEF
may MD B-VP I-DEF
or CC I-VP I-DEF
may MD I-VP I-DEF
not RB I-VP I-DEF
be VB I-VP I-DEF
stated VBN I-VP I-DEF
. . O O

Highlight NNP B-NP B-TERM
( : I-NP O
Thomas NNP I-NP O
et NN I-NP O
al NN I-NP O
. . O O
, , O O
2000 CD B-NP O
) : I-NP O
is VBZ B-VP O
a DT B-NP B-DEF
generalpurpose NN I-NP I-DEF
IE NNP I-NP I-DEF
engine NN I-NP I-DEF
for IN B-PP I-DEF
use NN B-NP I-DEF
in IN B-PP I-DEF
commercial JJ B-NP I-DEF
applications NNS I-NP I-DEF
. . O O

This DT B-NP O
paper NN I-NP O
describes VBZ B-VP O
an DT B-NP O
automatic JJ I-NP O
method NN I-NP O
for IN B-PP O
extracting NN B-VP O
systematic JJ B-NP O
polysemy NN I-NP O
from IN B-PP O
a DT B-NP B-DEF
hierarchically RB I-NP I-DEF
organized VBN I-NP I-DEF
semantic JJ I-NP I-DEF
lexicon NN I-NP I-DEF
( : I-NP O
WordNet NNP I-NP B-TERM
) : I-NP O
. . O O

Using VBG B-VP O
its PRP$ B-NP O
finite-state JJ I-NP O
language NN I-NP O
model NN I-NP O
, , O O
the DT B-NP O
REXTOR NNP I-NP B-TERM
System NNP I-NP I-TERM
generates VBZ B-VP B-DEF
a DT B-NP I-DEF
set NN I-NP I-DEF
of IN B-PP I-DEF
ternary JJ B-NP I-DEF
expressions NNS I-NP I-DEF
that WDT B-PP I-DEF
correspond NN B-NP I-DEF
to TO B-PP I-DEF
content VB B-NP I-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
partf-speechtagged JJ I-NP O
input NN I-NP O
document NN I-NP O
. . O O

A DT B-NP O
KeyWord NNP I-NP B-TERM
list NN I-NP I-TERM
is VBZ B-VP O
a DT B-NP B-DEF
portion NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
study NN I-NP I-DEF
corpus VBZ I-NP I-DEF
word NN I-NP I-DEF
list NN I-NP I-DEF
. . O O

Quarc NNP B-NP B-TERM
( : I-NP I-TERM
QUestion NNP I-NP I-TERM
Answering NNP I-NP I-TERM
for IN B-PP I-TERM
Reading NNP B-NP I-TERM
Comprehension NNP I-NP I-TERM
) NNP I-NP I-TERM
is VBZ B-VP O
a DT B-NP B-DEF
rule-based JJ I-NP I-DEF
system NN I-NP I-DEF
that WDT I-NP I-DEF
uses VBZ B-VP I-DEF
lexical JJ B-NP I-DEF
and CC I-NP I-DEF
semantic JJ I-NP I-DEF
heuristics NNS I-NP I-DEF
to TO B-VP I-DEF
look VB I-VP I-DEF
for IN B-PP I-DEF
evidence NN B-NP I-DEF
that IN B-PP I-DEF
a DT B-NP I-DEF
sentence NN I-NP I-DEF
contains VBZ B-VP I-DEF
the DT B-NP I-DEF
answer NN I-NP I-DEF
to TO B-PP I-DEF
a DT B-NP I-DEF
question NN I-NP I-DEF
. . O O

`` `` O O
Precision NN B-NP B-TERM
'' '' O O
is VBZ B-VP O
the DT B-NP B-DEF
percentage NN I-NP I-DEF
of IN B-PP I-DEF
correct JJ B-NP I-DEF
