-DOCSTART- -X- -X- O

NACSIS NN B-NP B-TERM
test NN I-NP I-TERM
collection NN I-NP I-TERM
I PRP I-NP I-TERM
( VBP B-VP O
NTCIR NNP B-NP O
, , O O
1999 CD B-NP O
) : I-NP O
, , O O
which WDT B-NP O
consists NNS B-VP B-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
collection NN I-NP I-DEF
of IN B-PP I-DEF
abstracts NNS B-NP I-DEF
of IN B-PP I-DEF
scientific JJ B-NP I-DEF
papers NNS I-NP I-DEF
( : B-PP I-DEF
330 CD B-NP I-DEF
,000 -NONE- I-NP I-DEF
records NNS I-NP I-DEF
, , O I-DEF
590MB CD B-VP I-DEF
in IN B-PP I-DEF
text NN O I-DEF
) : O I-DEF
, , O I-DEF
two CD O I-DEF
sets NNS O I-DEF
of IN B-PP I-DEF
topic JJ O I-DEF
description NN O I-DEF
( : O I-DEF
30 CD O I-DEF
topics NNS O I-DEF
for IN B-PP I-DEF
training NN O I-DEF
and CC O I-DEF
53 CD O I-DEF
topics NNS O I-DEF
for IN B-PP I-DEF
evaluation NN O I-DEF
) : O I-DEF
and CC O I-DEF
relevance NN O I-DEF
judgement NN O I-DEF
, , O I-DEF
provides VBZ B-VP I-DEF
us PRP O I-DEF
of IN B-PP I-DEF
a DT O I-DEF
good JJ O I-DEF
opportunity NN O I-DEF
for IN O I-DEF
this DT O I-DEF
purpose NN O I-DEF
. . O O

By IN B-PP O
partial JJ B-NP O
parsing NN I-NP O
and CC I-NP O
skip NN I-NP O
strategy NN I-NP O
, , O O
this DT B-NP O
parser NN I-NP O
can MD B-VP O
handle VB I-VP O
long JJ O O
, , O O
complicated JJ B-VP O
, , O O
or CC O O
even RB B-NP O
faulty NN I-NP O
sentences NNS I-NP O
. . O O

The DT B-NP O
corpus NN I-NP O
we PRP I-NP O
use VBP B-VP O
in IN B-PP O
our PRP$ B-NP O
experinaent NN I-NP O
is VBZ B-VP O
a DT B-NP O
relative JJ I-NP O
small JJ I-NP O
corpus NN I-NP O
about IN B-PP O
computer NN B-NP O
handbook NN I-NP O
, , O O
in IN B-PP O
which WDT B-NP O
the DT I-NP O
terms NNS I-NP O
are VBP B-VP O
translated VBN I-VP O
with IN B-PP O
high JJ B-NP O
consistency NN I-NP O
. . O O

In IN B-PP O
Table NNP B-NP O
4 CD I-NP O
, , I-NP O
'Num JJ I-NP O
~ NN I-NP O
denotes NNS B-VP O
the DT B-NP O
number NN I-NP O
of IN B-PP O
documents NNS B-NP O
in IN B-PP O
a DT B-NP O
set NN I-NP O
. . O O

They PRP B-NP O
report VBP B-VP O
that IN O O
the DT B-NP O
accuracy NN I-NP O
thus RB O O
obtained VBD B-VP O
is VBZ I-VP O
higher JJR O O
than IN B-PP O
when WRB O O
applying VBG B-VP O
the DT B-NP O
same JJ I-NP O
statistical JJ I-NP O
measures NNS I-NP O
to TO B-PP O
the DT B-NP O
original JJ I-NP O
text NN I-NP O
. . O O

In IN B-PP O
other JJ B-NP O
words NNS I-NP O
, , O O
W* -NONE- B-NP O
= : O O
arg NN B-NP O
max NN I-NP O
P NNP I-NP O
( NNP I-NP O
WIA NNP I-NP O
) NNP I-NP O
= NNP O O
arg NN B-NP O
