-DOCSTART- -X- -X- O

American NP B-NP O
Standard NP I-NP O
Code NP I-NP O
for IN B-PP O
Information NP I-PP O
Interchange NP I-PP O
( ( O O
ASCII NP B-NP B-TERM
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
character NN I-NP I-GENUS
encoding VVG B-VP B-HYPER
based VVN B-VP O
on IN B-PP O
the DT I-PP O
English JJ I-PP O
alphabet NN I-PP O
. . O O

The DT B-NP O
Aar NP I-NP B-TERM
( ( O O
German NP B-NP O
Aare NP I-NP O
) ) O O
, , O O
a DT B-NP O
tributary NN I-NP O
of IN B-PP O
the DT I-PP O
Rhine NP I-PP O
, , O O
is VBZ B-VP O
the DT B-NP B-GENUS
longest JJS I-NP I-GENUS
river NN B-NP B-HYPER
that IN O O
both DT B-NP O
rises NNS I-NP O
and CC O O
ends VVZ B-VP O
RB ADVP O O
within IN B-PP O
Switzerland NP I-PP O
. . O O

The DT B-NP O
Aardvark NP I-NP B-TERM
( ( O O
Orycteropus NP B-NP O
afer NP I-NP O
) ) I-NP O
( ( I-NP O
" `` O O
Digging JJ B-NP O
foot NN I-NP O
" '' O O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
medium-sized JJ I-NP I-GENUS
, , O I-GENUS
burrowing VVG B-VP I-GENUS
, , O I-GENUS
nocturnal JJ B-NP I-GENUS
mammal NN B-NP B-HYPER
native NN B-NP O
to TO B-PP O
Africa NP I-PP O
. . O O

The DT B-NP O
Aardwolf NP I-NP B-TERM
( ( O O
Proteles NP B-NP O
cristatus NN I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
small JJ I-NP I-GENUS
, , I-NP I-GENUS
insectivorous JJ I-NP I-GENUS
hyena-like NN I-NP I-GENUS
mammal NN B-NP B-HYPER
, , O O
native JJ B-NP O
to TO B-PP O
Eastern NP I-PP O
and CC O O
Southern NP B-NP O
Africa NP I-NP O
. . O O

In IN B-PP O
the DT I-PP O
Bible NP I-PP O
, , I-PP O
Aaron NP I-PP B-TERM
, , I-PP O
or CC I-PP O
Aaron NP I-PP O
the DT B-NP O
Levite NP I-NP O
( ( I-NP O
/ˈærən/ NN I-NP O
/ˈɛərən/˙ NN I-NP O
) ) O O
, , O O
was VBD B-VP O
the DT B-NP B-GENUS
brother NN B-NP B-HYPER
of IN B-PP O
Moses NP I-PP O
. . O O

The DT B-NP O
Ababda NP I-NP B-TERM
( ( O O
or CC O O
Ababde NP B-NP O
) ) O O
( ( O O
the DT B-NP O
Gebadei NP I-NP O
of IN B-PP O
Pliny NP I-PP O
, , O O
and CC O O
RB ADVP O O
the DT B-NP O
Troglodytes NN I-NP O
of IN B-PP O
other JJ I-PP O
classical JJ I-PP O
writers NNS I-PP O
) ) O O
are VBP B-VP O
nomads NNS B-NP B-HYPER
living VVG B-VP O
in IN B-PP O
the DT I-PP O
area NN I-PP O
between IN I-PP O
the DT I-PP O
Nile NP I-PP O
and CC O O
the DT B-NP O
Red NP I-NP O
Sea NP I-NP O
, , O O
in IN B-PP O
the DT I-PP O
vicinity NN I-PP O
of IN I-PP O
Aswan NP I-PP O
in IN I-PP O
Egypt NP I-PP O
. . O O

An DT B-NP O
Abacus NP I-NP B-TERM
, , O O
RB ADVP O O
called VVD B-VP O
a DT B-NP O
counting VVG I-NP O
frame NN I-NP O
, , O O
is VBZ B-VP O
a DT B-NP B-GENUS
calculating VVG I-NP I-GENUS
tool NN B-NP B-HYPER
used VVN B-VP O
RB ADVP O O
by IN B-PP O
Asians NPS I-PP O
for IN I-PP O
performing VVG B-VP O
arithmetic NN B-NP O
processes NNS I-NP O
. . O O

An DT I-NP O
Abbess NP I-NP B-TERM
( ( O O
Latin NP B-NP O
abbatissa NP I-NP O
, , O O
fem NN B-NP O
. SENT O O
form NN B-NP O
of IN B-PP O
abbas NNS I-PP O
, , I-PP O
abbot NN I-PP O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
female NN I-NP I-GENUS
superior NN B-NP B-HYPER
, , O O
or CC O O
Mother NP B-NP O
Superior NP I-NP O
, , O O
of IN B-PP O
an DT I-PP O
abbey NN I-PP O
of IN I-PP O
nuns NNS I-PP O
. . O O

